Player,Team,Score,Age
Sinclair Armstrong,QPR,63.58540627692418,20
Haji Wright,Coventry City,61.93987916111804,26
Mustapha Bundu,Plymouth Argyle,60.82428121977731,27
Yakou Méïte,Cardiff City,59.48012776298889,28
Lyle Foster,Burnley,59.22413326005683,23
Ryan Hardie,Plymouth Argyle,58.9138928593388,27
Luis Javier Suárez,Almería,58.849469899224374,26
Mama Samba Baldé,Lyon,58.74140096393818,28
Sava Petrov,Vizela,58.43727279843349,25
Alan Cantero,Barracas Central,58.32477030238852,24
Liam Delap,Hull City,58.017450173907555,21
André Inácio,Estrela,57.8411045164761,22
Ignacio Schor,Platense,57.781505585522105,22
Ronaldo Tavares,Estrela,57.644773906373,26
Josh Coburn,Middlesbrough,57.15079655840337,21
Benedict Hollerbach,Union Berlin,56.790400511832914,22
Mohamed El Amine Amoura,Union SG,56.52227895104181,23
Ellis Simms,Coventry City,56.02414588222541,23
Thiago Nuss,Argentinos Jun,55.91704920597057,21
David Datro Fofana,Union Berlin,55.8488788104608,21
